  phase   passband   delta    dm15       mag  
    7.0       desr   -0.36   +0.85   -19.415  
    8.0       desr   -0.36   +0.85   -19.381  
    9.0       desr   -0.36   +0.85   -19.342  
   10.0       desr   -0.36   +0.85   -19.288  
   11.0       desr   -0.36   +0.85   -19.210  
   12.0       desr   -0.36   +0.85   -19.132  
   13.0       desr   -0.36   +0.85   -19.062  
   14.0       desr   -0.36   +0.85   -19.001  
   15.0       desr   -0.36   +0.85   -18.957  
   16.0       desr   -0.36   +0.85   -18.936  
   17.0       desr   -0.36   +0.85   -18.916  
   18.0       desr   -0.36   +0.85   -18.898  
   19.0       desr   -0.36   +0.85   -18.889  
   20.0       desr   -0.36   +0.85   -18.881  
   21.0       desr   -0.36   +0.85   -18.865  
   22.0       desr   -0.36   +0.85   -18.847  
   23.0       desr   -0.36   +0.85   -18.832  
   24.0       desr   -0.36   +0.85   -18.822  
   25.0       desr   -0.36   +0.85   -18.812  
   26.0       desr   -0.36   +0.85   -18.800  
   27.0       desr   -0.36   +0.85   -18.784  
   28.0       desr   -0.36   +0.85   -18.763  
   29.0       desr   -0.36   +0.85   -18.735  
   30.0       desr   -0.36   +0.85   -18.700  
   31.0       desr   -0.36   +0.85   -18.656  
   32.0       desr   -0.36   +0.85   -18.605  
   33.0       desr   -0.36   +0.85   -18.549  
   34.0       desr   -0.36   +0.85   -18.490  
   35.0       desr   -0.36   +0.85   -18.428  
   36.0       desr   -0.36   +0.85   -18.365  
   37.0       desr   -0.36   +0.85   -18.302  
   38.0       desr   -0.36   +0.85   -18.240  
   39.0       desr   -0.36   +0.85   -18.183  
   40.0       desr   -0.36   +0.85   -18.131  
   41.0       desr   -0.36   +0.85   -18.083  
   42.0       desr   -0.36   +0.85   -18.039  
   43.0       desr   -0.36   +0.85   -17.997  
   44.0       desr   -0.36   +0.85   -17.957  
   45.0       desr   -0.36   +0.85   -17.918  
   46.0       desr   -0.36   +0.85   -17.881  
   47.0       desr   -0.36   +0.85   -17.844  
   48.0       desr   -0.36   +0.85   -17.807  
   49.0       desr   -0.36   +0.85   -17.770  
   50.0       desr   -0.36   +0.85   -17.733  
   51.0       desr   -0.36   +0.85   -17.697  
   52.0       desr   -0.36   +0.85   -17.663  
   53.0       desr   -0.36   +0.85   -17.630  
   54.0       desr   -0.36   +0.85   -17.601  
   55.0       desr   -0.36   +0.85   -17.572  
   56.0       desr   -0.36   +0.85   -17.544  
   57.0       desr   -0.36   +0.85   -17.516  
   58.0       desr   -0.36   +0.85   -17.490  
   59.0       desr   -0.36   +0.85   -17.461  
   60.0       desr   -0.36   +0.85   -17.432  
   61.0       desr   -0.36   +0.85   -17.401  
   62.0       desr   -0.36   +0.85   -17.371  
   63.0       desr   -0.36   +0.85   -17.340  
   64.0       desr   -0.36   +0.85   -17.310  
   65.0       desr   -0.36   +0.85   -17.281  
   66.0       desr   -0.36   +0.85   -17.252  
   67.0       desr   -0.36   +0.85   -17.225  
   68.0       desr   -0.36   +0.85   -17.197  
   69.0       desr   -0.36   +0.85   -17.170  
   70.0       desr   -0.36   +0.85   -17.142  
   71.0       desr   -0.36   +0.85   -17.112  
   72.0       desr   -0.36   +0.85   -17.081  
   73.0       desr   -0.36   +0.85   -17.050  
   74.0       desr   -0.36   +0.85   -17.019  
   75.0       desr   -0.36   +0.85   -16.988  
   76.0       desr   -0.36   +0.85   -16.958  
   77.0       desr   -0.36   +0.85   -16.929  
   78.0       desr   -0.36   +0.85   -16.899  
   79.0       desr   -0.36   +0.85   -16.868  
   80.0       desr   -0.36   +0.85   -16.836  
  -15.0       desr   -0.34   +0.86   -16.721  
  -14.0       desr   -0.34   +0.86   -17.056  
  -13.0       desr   -0.34   +0.86   -17.386  
  -12.0       desr   -0.34   +0.86   -17.706  
  -11.0       desr   -0.34   +0.86   -18.007  
  -10.0       desr   -0.34   +0.86   -18.310  
   -9.0       desr   -0.34   +0.86   -18.629  
   -8.0       desr   -0.34   +0.86   -18.922  
   -7.0       desr   -0.34   +0.86   -19.132  
   -6.0       desr   -0.34   +0.86   -19.260  
   -5.0       desr   -0.34   +0.86   -19.340  
   -4.0       desr   -0.34   +0.86   -19.399  
   -3.0       desr   -0.34   +0.86   -19.443  
   -2.0       desr   -0.34   +0.86   -19.475  
   -1.0       desr   -0.34   +0.86   -19.495  
    0.0       desr   -0.34   +0.86   -19.506  
    1.0       desr   -0.34   +0.86   -19.509  
    2.0       desr   -0.34   +0.86   -19.501  
    3.0       desr   -0.34   +0.86   -19.484  
    4.0       desr   -0.34   +0.86   -19.468  
    5.0       desr   -0.34   +0.86   -19.451  
    6.0       desr   -0.34   +0.86   -19.431  
    7.0       desr   -0.34   +0.86   -19.403  
    8.0       desr   -0.34   +0.86   -19.368  
    9.0       desr   -0.34   +0.86   -19.327  
   10.0       desr   -0.34   +0.86   -19.273  
   11.0       desr   -0.34   +0.86   -19.194  
