  phase   passband   delta    dm15       mag  
   67.0       desr   -0.36   +0.85   -16.862  
   68.0       desr   -0.36   +0.85   -16.804  
   69.0       desr   -0.36   +0.85   -16.750  
   70.0       desr   -0.36   +0.85   -16.697  
   71.0       desr   -0.36   +0.85   -16.642  
   72.0       desr   -0.36   +0.85   -16.590  
   73.0       desr   -0.36   +0.85   -16.537  
   74.0       desr   -0.36   +0.85   -16.490  
   75.0       desr   -0.36   +0.85   -16.448  
   76.0       desr   -0.36   +0.85   -16.404  
   77.0       desr   -0.36   +0.85   -16.361  
   78.0       desr   -0.36   +0.85   -16.320  
   79.0       desr   -0.36   +0.85   -16.274  
   80.0       desr   -0.36   +0.85   -16.240  
  -15.0       desr   -0.34   +0.86   -16.495  
  -14.0       desr   -0.34   +0.86   -16.702  
  -13.0       desr   -0.34   +0.86   -16.982  
  -12.0       desr   -0.34   +0.86   -17.287  
  -11.0       desr   -0.34   +0.86   -17.605  
  -10.0       desr   -0.34   +0.86   -17.844  
   -9.0       desr   -0.34   +0.86   -18.042  
   -8.0       desr   -0.34   +0.86   -18.252  
   -7.0       desr   -0.34   +0.86   -18.480  
   -6.0       desr   -0.34   +0.86   -18.705  
   -5.0       desr   -0.34   +0.86   -18.886  
   -4.0       desr   -0.34   +0.86   -18.989  
   -3.0       desr   -0.34   +0.86   -19.005  
   -2.0       desr   -0.34   +0.86   -18.978  
   -1.0       desr   -0.34   +0.86   -18.918  
    0.0       desr   -0.34   +0.86   -18.889  
    1.0       desr   -0.34   +0.86   -18.909  
    2.0       desr   -0.34   +0.86   -18.878  
    3.0       desr   -0.34   +0.86   -18.813  
    4.0       desr   -0.34   +0.86   -18.783  
    5.0       desr   -0.34   +0.86   -18.783  
    6.0       desr   -0.34   +0.86   -18.796  
    7.0       desr   -0.34   +0.86   -18.801  
    8.0       desr   -0.34   +0.86   -18.765  
    9.0       desr   -0.34   +0.86   -18.683  
   10.0       desr   -0.34   +0.86   -18.613  
   11.0       desr   -0.34   +0.86   -18.557  
   12.0       desr   -0.34   +0.86   -18.510  
   13.0       desr   -0.34   +0.86   -18.512  
   14.0       desr   -0.34   +0.86   -18.556  
   15.0       desr   -0.34   +0.86   -18.586  
   16.0       desr   -0.34   +0.86   -18.600  
   17.0       desr   -0.34   +0.86   -18.648  
   18.0       desr   -0.34   +0.86   -18.713  
   19.0       desr   -0.34   +0.86   -18.761  
   20.0       desr   -0.34   +0.86   -18.797  
   21.0       desr   -0.34   +0.86   -18.834  
   22.0       desr   -0.34   +0.86   -18.877  
   23.0       desr   -0.34   +0.86   -18.916  
   24.0       desr   -0.34   +0.86   -18.959  
   25.0       desr   -0.34   +0.86   -18.987  
   26.0       desr   -0.34   +0.86   -19.002  
   27.0       desr   -0.34   +0.86   -18.997  
   28.0       desr   -0.34   +0.86   -18.968  
   29.0       desr   -0.34   +0.86   -18.922  
   30.0       desr   -0.34   +0.86   -18.865  
   31.0       desr   -0.34   +0.86   -18.792  
   32.0       desr   -0.34   +0.86   -18.698  
   33.0       desr   -0.34   +0.86   -18.600  
   34.0       desr   -0.34   +0.86   -18.497  
   35.0       desr   -0.34   +0.86   -18.411  
   36.0       desr   -0.34   +0.86   -18.354  
   37.0       desr   -0.34   +0.86   -18.325  
   38.0       desr   -0.34   +0.86   -18.311  
   39.0       desr   -0.34   +0.86   -18.298  
   40.0       desr   -0.34   +0.86   -18.270  
   41.0       desr   -0.34   +0.86   -18.236  
   42.0       desr   -0.34   +0.86   -18.195  
   43.0       desr   -0.34   +0.86   -18.147  
   44.0       desr   -0.34   +0.86   -18.085  
   45.0       desr   -0.34   +0.86   -18.007  
   46.0       desr   -0.34   +0.86   -17.900  
   47.0       desr   -0.34   +0.86   -17.781  
   48.0       desr   -0.34   +0.86   -17.654  
   49.0       desr   -0.34   +0.86   -17.537  
   50.0       desr   -0.34   +0.86   -17.434  
   51.0       desr   -0.34   +0.86   -17.329  
   52.0       desr   -0.34   +0.86   -17.205  
   53.0       desr   -0.34   +0.86   -17.083  
   54.0       desr   -0.34   +0.86   -17.032  
   55.0       desr   -0.34   +0.86   -17.004  
   56.0       desr   -0.34   +0.86   -16.984  
   57.0       desr   -0.34   +0.86   -16.970  
   58.0       desr   -0.34   +0.86   -16.951  
   59.0       desr   -0.34   +0.86   -16.960  
   60.0       desr   -0.34   +0.86   -16.975  
   61.0       desr   -0.34   +0.86   -16.993  
