event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2016gkg,57651.23496528,19.65,0.38,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.23525463,19.41,0.42,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.23554398,19.01,0.31,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.23585648,19.26,0.41,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.23614583,19.14,0.33,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.2361548,19.03,0.08,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.23629636,19.02,0.13,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.23644676,18.45,0.12,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.23673611,19.40,0.39,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.23704861,19.59,0.50,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.23734954,19.17,0.24,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.23765046,19.23,0.30,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.23793518,18.98,0.12,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.23793982,18.67,0.20,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.23822917,19.02,0.29,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.23850694,18.90,0.25,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.23947917,18.59,0.26,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.23974537,18.93,0.21,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.23999995,18.75,0.12,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24,18.82,0.29,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24025463,19.20,0.28,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24052083,18.53,0.20,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24077546,19.05,0.29,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24104167,18.35,0.16,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.2412963,19.01,0.23,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.241301,18.75,0.08,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.2415625,18.52,0.15,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.2418287,19.04,0.29,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24201745,18.82,0.07,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24208333,18.46,0.16,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24234954,19.88,0.49,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24261574,19.32,0.35,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24262035,18.79,0.10,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24287037,18.71,0.21,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24318287,18.83,0.22,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24351852,18.94,0.27,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24384259,19.01,0.20,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24414352,19.04,0.58,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24414861,18.79,0.15,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24446759,18.63,0.30,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24476852,18.58,0.20,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24512731,18.70,0.19,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24550926,18.39,0.14,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24582176,18.80,0.31,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24595499,18.46,0.08,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24612269,18.76,0.35,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24642361,18.11,0.15,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24672454,18.47,0.17,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24706019,18.43,0.18,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24737269,18.67,0.16,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24763662,18.60,0.09,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24765046,18.84,0.31,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24791667,18.55,0.15,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.248,17.600,0.500,F,Clear,,Buso & Otero,2016arXiv161106451A
SN2016gkg,57651.24817347,18.48,0.05,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24818287,18.43,0.15,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.2484375,17.6,0.5,F,C,,,Transient Name Server
SN2016gkg,57651.2484375,18.63,0.16,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.2487037,18.35,0.14,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24904883,18.55,0.09,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.2490625,18.62,0.17,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24938657,18.19,0.13,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24965278,19.17,0.31,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.24994213,18.31,0.14,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
